Entry Z,Exit Z,Trades,Win%,PnL,Adj Sharpe,Max DD
1.0,0.0,420,50.7,5161.72,1.081,-501.0
1.0,0.1,527,65.7,6335.96,1.234,-392.52
1.0,0.2,557,67.3,5759.48,1.213,-332.16
1.0,0.3,584,69.2,6161.8,1.18,-306.76
1.0,0.4,620,70.6,6150.32,1.161,-306.76
1.0,0.5,666,72.4,6553.96,1.13,-306.76
1.25,0.0,351,48.7,3920.12,0.984,-444.28
1.25,0.1,403,61.5,5321.88,1.066,-387.76
1.25,0.2,416,63.9,5309.16,1.06,-306.76
1.25,0.3,430,65.3,5811.56,1.054,-306.76
1.25,0.4,448,67.2,5914.84,1.054,-306.76
1.25,0.5,466,68.7,6072.08,1.079,-306.76
1.5,0.0,269,52.8,3462.48,0.942,-433.32
1.5,0.1,304,65.8,4998.72,1.14,-368.76
1.5,0.2,314,67.8,4887.4,1.032,-287.76
1.5,0.3,321,68.5,5297.72,1.126,-287.76
1.5,0.4,329,70.2,5363.8,1.129,-287.76
1.5,0.5,332,70.8,5102.4,1.112,-287.76
1.75,0.0,201,52.2,2504.84,0.755,-324.76
1.75,0.1,220,63.2,3648.84,0.875,-324.76
1.75,0.2,229,65.9,3806.4,0.836,-261.64
1.75,0.3,231,67.1,3771.76,0.883,-219.76
1.75,0.4,233,68.7,3698.0,0.863,-219.76
1.75,0.5,235,70.2,3559.48,0.786,-219.76
2.0,0.0,147,53.1,2475.36,0.737,-276.76
2.0,0.1,156,65.4,2926.8,0.837,-276.76
2.0,0.2,161,67.7,3079.76,0.735,-254.64
2.0,0.3,162,69.8,3139.0,0.842,-156.76
2.0,0.4,164,70.1,3085.24,0.814,-156.76
2.0,0.5,165,70.3,3061.48,0.789,-156.76
2.25,0.0,99,57.6,2544.44,0.747,-254.76
2.25,0.1,103,64.1,2923.16,0.878,-254.76
2.25,0.2,106,66.0,3091.76,0.774,-248.64
2.25,0.3,106,68.9,3080.76,0.906,-233.76
2.25,0.4,107,70.1,3173.88,0.899,-154.88
2.25,0.5,107,69.2,3000.88,0.87,-154.88
2.5,0.0,73,57.5,2176.24,0.673,-221.4
2.5,0.1,75,65.3,2607.6,0.816,-216.64
2.5,0.2,77,67.5,2724.96,0.702,-216.64
2.5,0.3,77,70.1,2867.96,0.851,-206.76
2.5,0.4,78,71.8,2941.08,0.841,-149.88
2.5,0.5,78,70.5,2787.08,0.811,-149.88
