instrument,entry_date,exit_date,direction,days_held,exit_reason,daily_net_pnl,intraday_mae,intraday_mfe,n_bars
M1-M2,2024-04-02,2024-04-16,SHORT,8,take_profit,-18.0,-72.0,2.0,55
M1-M2,2024-07-03,2024-07-16,SHORT,8,invalidated,13.0,-31.0,42.0,33
M1-M2,2024-08-16,2024-08-22,SHORT,4,take_profit,55.0,-26.0,59.0,42
M1-M2,2024-09-11,2024-09-18,LONG,4,take_profit,62.0,64.0,107.0,19
M1-M2,2024-10-01,2024-10-02,SHORT,1,take_profit,41.0,-11.0,47.0,15
M1-M2,2024-12-04,2024-12-05,SHORT,1,invalidated,52.0,-2.0,70.0,6
M1-M2,2025-01-14,2025-01-15,LONG,1,take_profit,132.0,75.0,175.0,6
M1-M2,2025-03-03,2025-03-11,SHORT,6,take_profit,29.0,-94.0,-6.0,33
M1-M2,2025-08-13,2025-08-18,SHORT,3,invalidated,75.0,73.0,78.0,9
M1-M2,2025-09-11,2025-09-17,SHORT,2,invalidated,40.0,10.0,50.0,11
M1-M2,2025-11-11,2025-11-12,LONG,1,invalidated,-157.0,-88.0,36.0,7
M1-M2,2025-12-02,2025-12-03,LONG,1,take_profit,18.0,-16.0,17.0,7
M1-M2,2025-12-05,2025-12-08,LONG,1,take_profit,18.0,26.0,37.0,6
M1-M2,2025-12-09,2025-12-16,LONG,5,invalidated,37.0,1.0,46.0,18
M1-M2,2026-05-20,2026-05-29,LONG,6,take_profit,13.0,-2.0,20.0,50
M1-M2,2026-06-10,2026-06-15,LONG,3,take_profit,13.0,2.0,29.0,5
M2-M3,2024-04-02,2024-04-16,SHORT,8,take_profit,23.0,-10.0,27.0,72
M2-M3,2024-07-10,2024-07-16,SHORT,4,invalidated,23.0,-3.0,28.0,42
M2-M3,2024-08-01,2024-08-20,SHORT,13,take_profit,-3.0,-53.0,11.0,117
M2-M3,2024-09-12,2024-09-24,SHORT,7,take_profit,45.0,-7.0,62.0,66
M2-M3,2024-12-04,2024-12-05,SHORT,1,invalidated,-4.0,-7.0,7.0,18
M2-M3,2025-03-03,2025-03-14,SHORT,9,invalidated,-17.0,-51.0,9.0,84
M2-M3,2025-07-31,2025-08-18,LONG,12,invalidated,-17.0,-27.0,11.0,108
M2-M3,2025-11-11,2025-11-12,LONG,1,invalidated,-4.0,1.0,7.0,18
M2-M3,2025-12-01,2025-12-12,SHORT,9,take_profit,10.0,1.0,22.0,83
M2-M3,2026-06-11,2026-06-18,LONG,4,take_profit,12.0,3.0,17.0,36
M3-M4,2024-04-02,2024-04-17,SHORT,9,take_profit,25.0,-3.0,31.0,81
M3-M4,2024-07-11,2024-07-16,SHORT,3,invalidated,16.0,-0.0,23.0,33
M3-M4,2024-08-01,2024-08-07,SHORT,4,take_profit,7.0,-8.0,10.0,42
M3-M4,2024-08-14,2024-08-16,SHORT,2,take_profit,14.0,-17.0,21.0,24
M3-M4,2024-09-10,2024-09-17,SHORT,4,take_profit,16.0,-7.0,20.0,42
M3-M4,2024-10-01,2024-10-03,SHORT,2,invalidated,-10.0,-12.0,5.0,27
M3-M4,2024-12-04,2024-12-05,SHORT,1,invalidated,-14.0,-12.0,10.0,18
