entry_z,exit_z,shape_regime,period,n,win_pct,adj_sharpe,pnl,max_dd,low_n
1.25,0.25,SB,P1_2020-2021,157,63.7,1.71,1474.7,-138.4,False
1.25,0.25,SB,P2_2022-2023,70,68.6,1.104,2999.0,-306.8,False
1.25,0.25,SB,P3_2024-2026,85,63.5,1.416,677.2,-82.0,False
1.25,0.25,C,P1_2020-2021,0,,,0.0,0.0,True
1.25,0.25,C,P2_2022-2023,57,59.6,0.304,74.6,-234.6,False
1.25,0.25,C,P3_2024-2026,54,64.8,-0.239,92.8,-40.6,False
1.25,0.25,Transitional,P1_2020-2021,0,,,0.0,0.0,True
1.25,0.25,Transitional,P2_2022-2023,0,,,0.0,0.0,True
1.25,0.25,Transitional,P3_2024-2026,0,,,0.0,0.0,True
1.25,0.25,SB+C,P1_2020-2021,157,63.7,1.71,1474.7,-138.4,False
1.25,0.25,SB+C,P2_2022-2023,127,64.6,1.141,3073.6,-306.8,False
1.25,0.25,SB+C,P3_2024-2026,139,64.0,1.078,769.9,-95.3,False
1.25,0.5,SB,P1_2020-2021,170,68.8,1.831,1728.4,-151.6,False
1.25,0.5,SB,P2_2022-2023,77,67.5,1.21,3247.1,-306.8,False
1.25,0.5,SB,P3_2024-2026,92,65.2,1.313,626.0,-83.0,False
1.25,0.5,C,P1_2020-2021,0,,,0.0,0.0,True
1.25,0.5,C,P2_2022-2023,62,69.4,0.175,316.3,-49.8,False
1.25,0.5,C,P3_2024-2026,65,73.8,-0.174,154.3,-29.8,False
1.25,0.5,Transitional,P1_2020-2021,0,,,0.0,0.0,True
1.25,0.5,Transitional,P2_2022-2023,0,,,0.0,0.0,True
1.25,0.5,Transitional,P3_2024-2026,0,,,0.0,0.0,True
1.25,0.5,SB+C,P1_2020-2021,170,68.8,1.831,1728.4,-151.6,False
1.25,0.5,SB+C,P2_2022-2023,139,68.3,1.223,3563.4,-306.8,False
1.25,0.5,SB+C,P3_2024-2026,157,68.8,1.032,780.3,-91.2,False
1.25,0.75,SB,P1_2020-2021,221,75.1,2.012,1847.7,-234.5,False
1.25,0.75,SB,P2_2022-2023,85,69.4,1.173,3017.3,-339.5,False
1.25,0.75,SB,P3_2024-2026,103,68.0,1.434,619.8,-103.9,False
1.25,0.75,C,P1_2020-2021,0,,,0.0,0.0,True
