instrument,group,shape,duration_bucket,horizon,n_signals,reversion_rate_pct,continuation_rate_pct,anti_rev_depth_z,time_to_turn_days,half_life_days,net_directional_bias_pct,low_n_flag
M3-M5,2-month-gap-6,C,established,25,185,49.19,74.59,2.686,8.0,8.0,-0.81,
M3-M5,2-month-gap-6,C,established,30,185,54.05,74.59,2.758,9.0,8.5,4.05,
M3-M5,2-month-gap-6,C,established,40,185,64.32,78.38,2.811,11.0,9.0,14.32,
M4-M6,2-month-gap-6,C,established,25,178,50.56,69.66,2.502,7.0,7.5,0.56,
M4-M6,2-month-gap-6,C,established,30,178,59.55,70.79,2.507,8.0,9.0,9.55,
M4-M6,2-month-gap-6,C,established,40,178,73.6,73.03,2.543,9.0,11.0,23.6,
M6-M7,back-month-5,C,established,25,26,46.15,84.62,2.851,6.5,2.5,-3.85,
M6-M7,back-month-5,C,established,30,26,61.54,84.62,2.851,6.5,7.5,11.54,
M6-M7,back-month-5,C,established,40,26,100.0,84.62,2.864,6.5,12.5,50.0,
M5-M7,2-month-gap-6,C,established,25,33,45.45,75.76,2.97,5.0,5.0,-4.55,
M5-M7,2-month-gap-6,C,established,30,33,45.45,75.76,2.97,5.0,5.0,-4.55,
M5-M7,2-month-gap-6,C,established,40,33,60.61,75.76,3.066,5.0,13.5,10.61,
M6-M8,2-month-gap-6,C,established,25,22,18.18,72.73,2.511,4.0,8.5,-31.82,
M6-M8,2-month-gap-6,C,established,30,22,27.27,81.82,2.554,10.0,15.5,-22.73,
M6-M8,2-month-gap-6,C,established,40,22,100.0,86.36,2.581,22.0,18.0,50.0,
