instrument,group,shape,n_episodes,flicker_5d_pct,flicker_10d_pct,flicker_20d_pct,low_n_flag
M1-M2,live-9,SB,89,49.4,73.0,84.3,
M1-M2,live-9,MB,81,61.7,79.0,93.8,
M1-M2,live-9,TB,68,47.1,64.7,91.2,
M1-M2,live-9,C,67,49.3,65.7,85.1,
M1-M2,live-9,F,84,58.3,78.6,92.9,
M2-M3,live-9,SB,89,49.4,73.0,84.3,
M2-M3,live-9,MB,81,61.7,79.0,93.8,
M2-M3,live-9,TB,68,47.1,64.7,91.2,
M2-M3,live-9,C,67,49.3,65.7,85.1,
M2-M3,live-9,F,84,58.3,78.6,92.9,
M3-M4,live-9,SB,89,49.4,73.0,84.3,
M3-M4,live-9,MB,81,61.7,79.0,93.8,
M3-M4,live-9,TB,68,47.1,64.7,91.2,
M3-M4,live-9,C,67,49.3,65.7,85.1,
M3-M4,live-9,F,84,58.3,78.6,92.9,
M4-M5,live-9,SB,89,49.4,73.0,84.3,
M4-M5,live-9,MB,81,61.7,79.0,93.8,
M4-M5,live-9,TB,68,47.1,64.7,91.2,
M4-M5,live-9,C,67,49.3,65.7,85.1,
M4-M5,live-9,F,84,58.3,78.6,92.9,
M5-M6,live-9,SB,89,49.4,73.0,84.3,
M5-M6,live-9,MB,81,61.7,79.0,93.8,
M5-M6,live-9,TB,68,47.1,64.7,91.2,
M5-M6,live-9,C,67,49.3,65.7,85.1,
M5-M6,live-9,F,84,58.3,78.6,92.9,
BF_M1M2M3,live-9,SB,89,49.4,73.0,84.3,
BF_M1M2M3,live-9,MB,81,61.7,79.0,93.8,
BF_M1M2M3,live-9,TB,68,47.1,64.7,91.2,
BF_M1M2M3,live-9,C,67,49.3,65.7,85.1,
BF_M1M2M3,live-9,F,84,58.3,78.6,92.9,
BF_M2M3M4,live-9,SB,89,49.4,73.0,84.3,
BF_M2M3M4,live-9,MB,81,61.7,79.0,93.8,
BF_M2M3M4,live-9,TB,68,47.1,64.7,91.2,
BF_M2M3M4,live-9,C,67,49.3,65.7,85.1,
BF_M2M3M4,live-9,F,84,58.3,78.6,92.9,
BF_M3M4M5,live-9,SB,89,49.4,73.0,84.3,
BF_M3M4M5,live-9,MB,81,61.7,79.0,93.8,
BF_M3M4M5,live-9,TB,68,47.1,64.7,91.2,
BF_M3M4M5,live-9,C,67,49.3,65.7,85.1,
BF_M3M4M5,live-9,F,84,58.3,78.6,92.9,
BF_M4M5M6,live-9,SB,89,49.4,73.0,84.3,
BF_M4M5M6,live-9,MB,81,61.7,79.0,93.8,
BF_M4M5M6,live-9,TB,68,47.1,64.7,91.2,
BF_M4M5M6,live-9,C,67,49.3,65.7,85.1,
BF_M4M5M6,live-9,F,84,58.3,78.6,92.9,
M6-M7,back-month-5,SB,89,49.4,73.0,84.3,
M6-M7,back-month-5,MB,81,61.7,79.0,93.8,
M6-M7,back-month-5,TB,68,47.1,64.7,91.2,
M6-M7,back-month-5,C,67,49.3,65.7,85.1,
M6-M7,back-month-5,F,84,58.3,78.6,92.9,
M7-M8,back-month-5,SB,89,49.4,73.0,84.3,
M7-M8,back-month-5,MB,81,61.7,79.0,93.8,
M7-M8,back-month-5,TB,68,47.1,64.7,91.2,
M7-M8,back-month-5,C,67,49.3,65.7,85.1,
M7-M8,back-month-5,F,84,58.3,78.6,92.9,
M8-M9,back-month-5,SB,89,49.4,73.0,84.3,
M8-M9,back-month-5,MB,81,61.7,79.0,93.8,
M8-M9,back-month-5,TB,68,47.1,64.7,91.2,
M8-M9,back-month-5,C,67,49.3,65.7,85.1,
M8-M9,back-month-5,F,84,58.3,78.6,92.9,
BF_M6M7M8,back-month-5,SB,89,49.4,73.0,84.3,
BF_M6M7M8,back-month-5,MB,81,61.7,79.0,93.8,
BF_M6M7M8,back-month-5,TB,68,47.1,64.7,91.2,
BF_M6M7M8,back-month-5,C,67,49.3,65.7,85.1,
BF_M6M7M8,back-month-5,F,84,58.3,78.6,92.9,
BF_M7M8M9,back-month-5,SB,89,49.4,73.0,84.3,
BF_M7M8M9,back-month-5,MB,81,61.7,79.0,93.8,
BF_M7M8M9,back-month-5,TB,68,47.1,64.7,91.2,
BF_M7M8M9,back-month-5,C,67,49.3,65.7,85.1,
BF_M7M8M9,back-month-5,F,84,58.3,78.6,92.9,
M1-M3,2-month-gap-6,SB,89,49.4,73.0,84.3,
M1-M3,2-month-gap-6,MB,81,61.7,79.0,93.8,
M1-M3,2-month-gap-6,TB,68,47.1,64.7,91.2,
M1-M3,2-month-gap-6,C,67,49.3,65.7,85.1,
M1-M3,2-month-gap-6,F,84,58.3,78.6,92.9,
M2-M4,2-month-gap-6,SB,89,49.4,73.0,84.3,
M2-M4,2-month-gap-6,MB,81,61.7,79.0,93.8,
M2-M4,2-month-gap-6,TB,68,47.1,64.7,91.2,
M2-M4,2-month-gap-6,C,67,49.3,65.7,85.1,
M2-M4,2-month-gap-6,F,84,58.3,78.6,92.9,
M3-M5,2-month-gap-6,SB,89,49.4,73.0,84.3,
M3-M5,2-month-gap-6,MB,81,61.7,79.0,93.8,
M3-M5,2-month-gap-6,TB,68,47.1,64.7,91.2,
M3-M5,2-month-gap-6,C,67,49.3,65.7,85.1,
M3-M5,2-month-gap-6,F,84,58.3,78.6,92.9,
M4-M6,2-month-gap-6,SB,89,49.4,73.0,84.3,
M4-M6,2-month-gap-6,MB,81,61.7,79.0,93.8,
M4-M6,2-month-gap-6,TB,68,47.1,64.7,91.2,
M4-M6,2-month-gap-6,C,67,49.3,65.7,85.1,
M4-M6,2-month-gap-6,F,84,58.3,78.6,92.9,
M5-M7,2-month-gap-6,SB,89,49.4,73.0,84.3,
M5-M7,2-month-gap-6,MB,81,61.7,79.0,93.8,
M5-M7,2-month-gap-6,TB,68,47.1,64.7,91.2,
M5-M7,2-month-gap-6,C,67,49.3,65.7,85.1,
M5-M7,2-month-gap-6,F,84,58.3,78.6,92.9,
M6-M8,2-month-gap-6,SB,89,49.4,73.0,84.3,
M6-M8,2-month-gap-6,MB,81,61.7,79.0,93.8,
M6-M8,2-month-gap-6,TB,68,47.1,64.7,91.2,
M6-M8,2-month-gap-6,C,67,49.3,65.7,85.1,
M6-M8,2-month-gap-6,F,84,58.3,78.6,92.9,
