instrument,group,shape,duration_bucket,horizon,n_signals,reversion_rate_pct,continuation_rate_pct,anti_rev_depth_z,time_to_turn_days,half_life_days,net_directional_bias_pct,low_n_flag
M1-M2,live-9,SB,early,5,34,23.53,44.12,2.711,3.0,2.0,-26.47,
M1-M2,live-9,SB,early,10,34,52.94,47.06,2.715,3.0,4.5,2.94,
M1-M2,live-9,SB,early,20,34,58.82,55.88,2.79,4.0,5.0,8.82,
M1-M2,live-9,SB,mid,5,56,42.86,35.71,2.296,2.5,2.0,-7.14,
M1-M2,live-9,SB,mid,10,56,53.57,48.21,2.38,3.0,2.0,3.57,
M1-M2,live-9,SB,mid,20,56,76.79,58.93,2.938,10.0,3.0,26.79,
M1-M2,live-9,SB,established,5,54,33.33,35.19,2.993,2.0,2.0,-16.67,
M1-M2,live-9,SB,established,10,54,59.26,46.3,2.872,3.0,4.0,9.26,
M1-M2,live-9,SB,established,20,54,74.07,59.26,2.934,9.5,4.5,24.07,
M1-M2,live-9,MB,early,5,18,16.67,5.56,3.098,5.0,3.0,-33.33,LOW-N
M1-M2,live-9,MB,early,10,18,55.56,16.67,2.49,9.0,5.0,5.56,LOW-N
M1-M2,live-9,MB,early,20,18,88.89,44.44,2.881,16.0,6.5,38.89,LOW-N
M1-M2,live-9,MB,mid,5,22,31.82,31.82,2.354,5.0,2.0,-18.18,
M1-M2,live-9,MB,mid,10,22,36.36,50.0,2.469,8.0,1.5,-13.64,
M1-M2,live-9,MB,mid,20,22,63.64,68.18,2.58,10.0,2.0,13.64,
M1-M2,live-9,MB,established,5,4,0.0,50.0,2.614,1.0,,-50.0,LOW-N
M1-M2,live-9,MB,established,10,4,0.0,50.0,2.614,1.0,,-50.0,LOW-N
M1-M2,live-9,MB,established,20,4,0.0,50.0,2.614,1.0,,-50.0,LOW-N
M1-M2,live-9,TB,early,5,6,50.0,16.67,3.515,5.0,2.0,0.0,LOW-N
M1-M2,live-9,TB,early,10,6,83.33,50.0,3.515,6.0,2.0,33.33,LOW-N
M1-M2,live-9,TB,early,20,6,83.33,66.67,3.302,6.5,2.0,33.33,LOW-N
M1-M2,live-9,TB,mid,5,19,10.53,26.32,2.331,1.0,2.5,-39.47,LOW-N
M1-M2,live-9,TB,mid,10,19,15.79,26.32,2.456,2.0,2.0,-34.21,LOW-N
M1-M2,live-9,TB,mid,20,19,52.63,47.37,2.376,6.0,13.5,2.63,LOW-N
M1-M2,live-9,TB,established,5,2,0.0,50.0,2.256,1.0,,-50.0,LOW-N
M1-M2,live-9,TB,established,10,2,0.0,50.0,2.256,1.0,,-50.0,LOW-N
M1-M2,live-9,TB,established,20,2,100.0,50.0,2.256,1.0,12.0,50.0,LOW-N
M1-M2,live-9,C,early,5,3,0.0,0.0,,,,-50.0,LOW-N
M1-M2,live-9,C,early,10,3,66.67,33.33,1.565,7.0,5.0,16.67,LOW-N
M1-M2,live-9,C,early,20,3,100.0,33.33,1.565,7.0,9.0,50.0,LOW-N
M1-M2,live-9,C,mid,5,31,54.84,32.26,2.545,2.0,2.0,4.84,
M1-M2,live-9,C,mid,10,31,83.87,45.16,2.49,5.5,2.5,33.87,
M1-M2,live-9,C,mid,20,31,93.55,58.06,2.667,13.0,2.0,43.55,
M1-M2,live-9,C,established,5,121,38.84,39.67,2.867,3.0,1.0,-11.16,
M1-M2,live-9,C,established,10,121,70.25,52.89,3.014,4.5,3.0,20.25,
M1-M2,live-9,C,established,20,120,95.0,73.33,2.967,8.0,4.0,45.0,
M1-M2,live-9,F,early,5,15,40.0,20.0,2.057,4.0,1.0,-10.0,LOW-N
M1-M2,live-9,F,early,10,15,66.67,26.67,2.506,7.0,2.0,16.67,LOW-N
M1-M2,live-9,F,early,20,15,86.67,80.0,2.436,14.5,7.0,36.67,LOW-N
M1-M2,live-9,F,mid,5,13,30.77,38.46,2.365,3.0,1.5,-19.23,LOW-N
M1-M2,live-9,F,mid,10,13,30.77,46.15,2.329,3.0,1.5,-19.23,LOW-N
M1-M2,live-9,F,mid,20,13,61.54,46.15,2.329,3.0,1.0,11.54,LOW-N
M1-M2,live-9,F,established,5,0,,,,,,,
M1-M2,live-9,F,established,10,0,,,,,,,
M1-M2,live-9,F,established,20,0,,,,,,,
M2-M3,live-9,SB,early,5,42,9.52,19.05,2.735,3.5,4.0,-40.48,
M2-M3,live-9,SB,early,10,42,28.57,33.33,2.621,5.5,5.5,-21.43,
M2-M3,live-9,SB,early,20,42,57.14,40.48,2.65,7.0,7.0,7.14,
M2-M3,live-9,SB,mid,5,82,29.27,42.68,2.138,1.0,3.0,-20.73,
M2-M3,live-9,SB,mid,10,82,39.02,51.22,2.241,2.0,3.0,-10.98,
M2-M3,live-9,SB,mid,20,82,59.76,64.63,2.913,11.0,4.0,9.76,
M2-M3,live-9,SB,established,5,32,12.5,43.75,2.625,1.5,1.5,-37.5,
M2-M3,live-9,SB,established,10,32,25.0,56.25,3.032,4.5,2.0,-25.0,
M2-M3,live-9,SB,established,20,32,56.25,56.25,3.25,4.5,5.5,6.25,
M2-M3,live-9,MB,early,5,19,0.0,15.79,1.658,2.0,,-50.0,LOW-N
M2-M3,live-9,MB,early,10,19,15.79,26.32,1.76,5.0,10.0,-34.21,LOW-N
M2-M3,live-9,MB,early,20,19,68.42,57.89,2.934,16.0,10.0,18.42,LOW-N
M2-M3,live-9,MB,mid,5,8,25.0,12.5,1.614,3.0,1.0,-25.0,LOW-N
M2-M3,live-9,MB,mid,10,8,37.5,50.0,2.012,8.5,1.0,-12.5,LOW-N
M2-M3,live-9,MB,mid,20,8,62.5,50.0,2.368,9.0,2.0,12.5,LOW-N
M2-M3,live-9,MB,established,5,3,0.0,0.0,,,,-50.0,LOW-N
M2-M3,live-9,MB,established,10,3,0.0,0.0,,,,-50.0,LOW-N
M2-M3,live-9,MB,established,20,3,33.33,0.0,,,13.0,-16.67,LOW-N
M2-M3,live-9,TB,early,5,7,0.0,14.29,3.826,5.0,,-50.0,LOW-N
M2-M3,live-9,TB,early,10,7,0.0,42.86,3.826,6.0,,-50.0,LOW-N
M2-M3,live-9,TB,early,20,7,28.57,42.86,3.826,6.0,8.0,-21.43,LOW-N
M2-M3,live-9,TB,mid,5,13,15.38,38.46,2.451,1.0,2.0,-34.62,LOW-N
M2-M3,live-9,TB,mid,10,13,15.38,61.54,2.379,1.5,2.0,-34.62,LOW-N
M2-M3,live-9,TB,mid,20,13,69.23,69.23,2.573,10.0,14.0,19.23,LOW-N
M2-M3,live-9,TB,established,5,4,0.0,75.0,2.414,3.0,,-50.0,LOW-N
M2-M3,live-9,TB,established,10,4,50.0,75.0,2.414,3.0,9.5,0.0,LOW-N
M2-M3,live-9,TB,established,20,4,100.0,75.0,2.414,3.0,11.0,50.0,LOW-N
M2-M3,live-9,C,early,5,7,42.86,14.29,1.788,1.0,3.0,-7.14,LOW-N
M2-M3,live-9,C,early,10,7,57.14,28.57,1.986,5.0,3.0,7.14,LOW-N
M2-M3,live-9,C,early,20,7,85.71,71.43,2.246,14.0,6.0,35.71,LOW-N
M2-M3,live-9,C,mid,5,33,45.45,39.39,2.312,2.0,2.0,-4.55,
M2-M3,live-9,C,mid,10,33,75.76,48.48,2.362,2.5,4.0,25.76,
M2-M3,live-9,C,mid,20,33,87.88,54.55,2.41,3.0,4.0,37.88,
M2-M3,live-9,C,established,5,161,17.39,56.52,2.613,2.0,2.0,-32.61,
M2-M3,live-9,C,established,10,160,33.12,61.88,2.674,3.0,4.0,-16.88,
M2-M3,live-9,C,established,20,159,54.09,66.67,2.792,4.0,5.0,4.09,
M2-M3,live-9,F,early,5,10,0.0,30.0,2.774,4.0,,-50.0,LOW-N
M2-M3,live-9,F,early,10,10,0.0,30.0,3.187,5.0,,-50.0,LOW-N
M2-M3,live-9,F,early,20,10,20.0,30.0,3.187,5.0,8.0,-30.0,LOW-N
M2-M3,live-9,F,mid,5,16,18.75,31.25,2.33,1.0,1.0,-31.25,LOW-N
M2-M3,live-9,F,mid,10,16,31.25,37.5,2.44,2.0,1.0,-18.75,LOW-N
M2-M3,live-9,F,mid,20,16,37.5,56.25,2.757,3.0,5.0,-12.5,LOW-N
M2-M3,live-9,F,established,5,0,,,,,,,
M2-M3,live-9,F,established,10,0,,,,,,,
M2-M3,live-9,F,established,20,0,,,,,,,
M3-M4,live-9,SB,early,5,39,20.51,20.51,3.355,3.0,3.5,-29.49,
M3-M4,live-9,SB,early,10,39,35.9,41.03,2.897,6.5,4.5,-14.1,
M3-M4,live-9,SB,early,20,39,74.36,43.59,2.994,8.0,7.0,24.36,
M3-M4,live-9,SB,mid,5,65,43.08,46.15,2.207,2.0,2.0,-6.92,
M3-M4,live-9,SB,mid,10,65,60.0,50.77,2.257,3.0,3.0,10.0,
M3-M4,live-9,SB,mid,20,65,81.54,63.08,2.527,7.0,4.0,31.54,
M3-M4,live-9,SB,established,5,44,20.45,47.73,2.385,2.0,2.0,-29.55,
M3-M4,live-9,SB,established,10,44,34.09,54.55,2.633,2.5,3.0,-15.91,
M3-M4,live-9,SB,established,20,44,50.0,61.36,2.736,3.0,7.0,0.0,
M3-M4,live-9,MB,early,5,22,0.0,13.64,2.074,3.0,,-50.0,
M3-M4,live-9,MB,early,10,22,13.64,13.64,2.333,5.0,9.0,-36.36,
M3-M4,live-9,MB,early,20,22,31.82,54.55,2.832,15.0,9.0,-18.18,
M3-M4,live-9,MB,mid,5,9,11.11,11.11,2.365,1.0,1.0,-38.89,LOW-N
M3-M4,live-9,MB,mid,10,9,11.11,33.33,2.281,7.0,1.0,-38.89,LOW-N
M3-M4,live-9,MB,mid,20,9,22.22,33.33,2.694,7.0,6.0,-27.78,LOW-N
M3-M4,live-9,MB,established,5,0,,,,,,,
M3-M4,live-9,MB,established,10,0,,,,,,,
M3-M4,live-9,MB,established,20,0,,,,,,,
M3-M4,live-9,TB,early,5,8,50.0,37.5,2.316,2.0,2.5,0.0,LOW-N
M3-M4,live-9,TB,early,10,8,75.0,37.5,2.316,2.0,3.5,25.0,LOW-N
M3-M4,live-9,TB,early,20,8,75.0,50.0,2.441,2.0,3.5,25.0,LOW-N
M3-M4,live-9,TB,mid,5,10,30.0,60.0,2.541,1.5,1.0,-20.0,LOW-N
M3-M4,live-9,TB,mid,10,10,30.0,60.0,2.541,1.5,1.0,-20.0,LOW-N
M3-M4,live-9,TB,mid,20,10,90.0,60.0,2.541,1.5,14.0,40.0,LOW-N
M3-M4,live-9,TB,established,5,3,66.67,66.67,2.327,4.5,1.5,16.67,LOW-N
M3-M4,live-9,TB,established,10,3,100.0,66.67,2.327,4.5,2.0,50.0,LOW-N
M3-M4,live-9,TB,established,20,3,100.0,66.67,2.327,4.5,2.0,50.0,LOW-N
M3-M4,live-9,C,early,5,13,15.38,23.08,2.268,1.0,1.5,-34.62,LOW-N
M3-M4,live-9,C,early,10,13,38.46,46.15,2.404,7.0,7.0,-11.54,LOW-N
M3-M4,live-9,C,early,20,13,100.0,46.15,2.448,7.5,5.0,50.0,LOW-N
M3-M4,live-9,C,mid,5,30,36.67,30.0,2.272,2.0,1.0,-13.33,
M3-M4,live-9,C,mid,10,30,60.0,33.33,2.301,3.0,2.0,10.0,
M3-M4,live-9,C,mid,20,28,78.57,46.43,2.618,15.0,2.5,28.57,
M3-M4,live-9,C,established,5,182,9.34,53.3,2.474,2.0,2.0,-40.66,
M3-M4,live-9,C,established,10,182,30.22,62.09,2.611,3.0,4.0,-19.78,
M3-M4,live-9,C,established,20,178,54.49,71.35,2.714,6.0,6.0,4.49,
M3-M4,live-9,F,early,5,11,18.18,18.18,2.15,3.0,2.0,-31.82,LOW-N
M3-M4,live-9,F,early,10,11,27.27,36.36,2.047,5.5,3.0,-22.73,LOW-N
M3-M4,live-9,F,early,20,11,72.73,72.73,2.298,15.0,6.0,22.73,LOW-N
M3-M4,live-9,F,mid,5,10,30.0,20.0,1.62,1.0,2.0,-20.0,LOW-N
M3-M4,live-9,F,mid,10,10,30.0,40.0,2.046,7.5,2.0,-20.0,LOW-N
M3-M4,live-9,F,mid,20,10,60.0,60.0,2.016,8.5,9.5,10.0,LOW-N
M3-M4,live-9,F,established,5,0,,,,,,,
M3-M4,live-9,F,established,10,0,,,,,,,
M3-M4,live-9,F,established,20,0,,,,,,,
M4-M5,live-9,SB,early,5,31,9.68,29.03,3.329,2.0,1.0,-40.32,
M4-M5,live-9,SB,early,10,31,29.03,32.26,3.219,2.0,2.0,-20.97,
M4-M5,live-9,SB,early,20,31,67.74,32.26,3.283,2.0,8.0,17.74,
M4-M5,live-9,SB,mid,5,43,32.56,46.51,2.491,2.0,2.0,-17.44,
M4-M5,live-9,SB,mid,10,43,51.16,48.84,2.446,2.0,2.0,1.16,
M4-M5,live-9,SB,mid,20,43,79.07,60.47,2.737,3.0,3.0,29.07,
M4-M5,live-9,SB,established,5,51,31.37,47.06,2.62,2.0,2.5,-18.63,
M4-M5,live-9,SB,established,10,51,47.06,54.9,2.713,3.5,3.5,-2.94,
M4-M5,live-9,SB,established,20,51,68.63,58.82,2.938,4.0,4.0,18.63,
M4-M5,live-9,MB,early,5,24,16.67,16.67,2.384,1.0,2.5,-33.33,
M4-M5,live-9,MB,early,10,24,33.33,16.67,2.384,1.0,6.0,-16.67,
M4-M5,live-9,MB,early,20,24,62.5,37.5,2.974,16.0,7.0,12.5,
M4-M5,live-9,MB,mid,5,10,10.0,10.0,2.416,3.0,1.0,-40.0,LOW-N
M4-M5,live-9,MB,mid,10,10,20.0,20.0,1.983,5.5,5.5,-30.0,LOW-N
M4-M5,live-9,MB,mid,20,10,60.0,30.0,1.924,8.0,10.5,10.0,LOW-N
M4-M5,live-9,MB,established,5,0,,,,,,,
M4-M5,live-9,MB,established,10,0,,,,,,,
M4-M5,live-9,MB,established,20,0,,,,,,,
M4-M5,live-9,TB,early,5,4,0.0,50.0,2.056,3.5,,-50.0,LOW-N
M4-M5,live-9,TB,early,10,4,0.0,50.0,2.056,3.5,,-50.0,LOW-N
M4-M5,live-9,TB,early,20,4,25.0,50.0,2.056,3.5,19.0,-25.0,LOW-N
M4-M5,live-9,TB,mid,5,7,14.29,28.57,2.52,1.5,3.0,-35.71,LOW-N
M4-M5,live-9,TB,mid,10,7,14.29,28.57,2.52,1.5,3.0,-35.71,LOW-N
M4-M5,live-9,TB,mid,20,7,71.43,28.57,2.52,1.5,3.0,21.43,LOW-N
M4-M5,live-9,TB,established,5,1,0.0,0.0,,,,-50.0,LOW-N
M4-M5,live-9,TB,established,10,1,0.0,0.0,,,,-50.0,LOW-N
M4-M5,live-9,TB,established,20,1,100.0,0.0,,,1.0,50.0,LOW-N
M4-M5,live-9,C,early,5,11,27.27,36.36,2.58,1.0,3.0,-22.73,LOW-N
M4-M5,live-9,C,early,10,11,100.0,45.45,2.611,1.0,4.0,50.0,LOW-N
M4-M5,live-9,C,early,20,11,100.0,45.45,2.611,1.0,4.0,50.0,LOW-N
M4-M5,live-9,C,mid,5,29,41.38,44.83,2.163,1.0,2.0,-8.62,
M4-M5,live-9,C,mid,10,29,62.07,48.28,2.135,2.0,3.5,12.07,
M4-M5,live-9,C,mid,20,27,77.78,55.56,2.242,3.0,4.0,27.78,
M4-M5,live-9,C,established,5,171,11.11,53.8,2.395,2.0,3.0,-38.89,
M4-M5,live-9,C,established,10,171,28.65,59.06,2.583,3.0,4.0,-21.35,
M4-M5,live-9,C,established,20,170,48.82,70.59,2.661,7.0,7.0,-1.18,
M4-M5,live-9,F,early,5,9,33.33,33.33,2.764,1.0,3.0,-16.67,LOW-N
M4-M5,live-9,F,early,10,9,44.44,33.33,2.764,1.0,3.5,-5.56,LOW-N
M4-M5,live-9,F,early,20,9,100.0,77.78,2.754,15.0,4.0,50.0,LOW-N
M4-M5,live-9,F,mid,5,6,33.33,0.0,,,1.5,-16.67,LOW-N
M4-M5,live-9,F,mid,10,6,33.33,0.0,,,1.5,-16.67,LOW-N
M4-M5,live-9,F,mid,20,6,66.67,0.0,,,9.5,16.67,LOW-N
M4-M5,live-9,F,established,5,0,,,,,,,
M4-M5,live-9,F,established,10,0,,,,,,,
M4-M5,live-9,F,established,20,0,,,,,,,
M5-M6,live-9,SB,early,5,28,7.14,14.29,1.774,3.0,3.0,-42.86,
M5-M6,live-9,SB,early,10,28,28.57,21.43,2.311,6.0,5.5,-21.43,
M5-M6,live-9,SB,early,20,28,67.86,32.14,2.91,11.0,10.0,17.86,
M5-M6,live-9,SB,mid,5,41,43.9,39.02,2.363,2.0,2.0,-6.1,
M5-M6,live-9,SB,mid,10,41,70.73,48.78,2.446,3.0,3.0,20.73,
M5-M6,live-9,SB,mid,20,41,85.37,53.66,2.762,4.5,3.0,35.37,
M5-M6,live-9,SB,established,5,56,19.64,37.5,2.718,2.0,2.0,-30.36,
M5-M6,live-9,SB,established,10,56,33.93,42.86,2.861,3.0,5.0,-16.07,
M5-M6,live-9,SB,established,20,56,48.21,46.43,2.855,3.5,5.0,-1.79,
M5-M6,live-9,MB,early,5,26,7.69,7.69,3.023,3.5,3.5,-42.31,
M5-M6,live-9,MB,early,10,26,38.46,7.69,3.023,3.5,5.5,-11.54,
M5-M6,live-9,MB,early,20,26,80.77,15.38,2.897,14.5,6.0,30.77,
M5-M6,live-9,MB,mid,5,15,20.0,33.33,2.571,1.0,2.0,-30.0,LOW-N
M5-M6,live-9,MB,mid,10,15,20.0,40.0,2.661,1.5,2.0,-30.0,LOW-N
M5-M6,live-9,MB,mid,20,15,26.67,53.33,2.7,2.5,2.0,-23.33,LOW-N
M5-M6,live-9,MB,established,5,2,0.0,0.0,,,,-50.0,LOW-N
M5-M6,live-9,MB,established,10,2,0.0,0.0,,,,-50.0,LOW-N
M5-M6,live-9,MB,established,20,2,0.0,0.0,,,,-50.0,LOW-N
M5-M6,live-9,TB,early,5,8,50.0,25.0,2.921,4.5,3.0,0.0,LOW-N
M5-M6,live-9,TB,early,10,8,87.5,25.0,2.921,4.5,4.0,37.5,LOW-N
M5-M6,live-9,TB,early,20,8,87.5,25.0,2.921,4.5,4.0,37.5,LOW-N
M5-M6,live-9,TB,mid,5,10,10.0,40.0,2.212,1.0,1.0,-40.0,LOW-N
M5-M6,live-9,TB,mid,10,10,10.0,40.0,2.212,1.0,1.0,-40.0,LOW-N
M5-M6,live-9,TB,mid,20,10,60.0,40.0,2.212,1.0,14.5,10.0,LOW-N
M5-M6,live-9,TB,established,5,2,0.0,0.0,,,,-50.0,LOW-N
M5-M6,live-9,TB,established,10,2,0.0,0.0,,,,-50.0,LOW-N
M5-M6,live-9,TB,established,20,2,100.0,0.0,,,2.0,50.0,LOW-N
M5-M6,live-9,C,early,5,10,10.0,20.0,2.237,1.0,2.0,-40.0,LOW-N
M5-M6,live-9,C,early,10,10,70.0,30.0,2.242,7.0,7.0,20.0,LOW-N
M5-M6,live-9,C,early,20,10,100.0,30.0,2.242,7.0,7.0,50.0,LOW-N
M5-M6,live-9,C,mid,5,23,17.39,30.43,1.844,2.0,3.5,-32.61,
M5-M6,live-9,C,mid,10,23,56.52,34.78,1.977,2.5,5.0,6.52,
M5-M6,live-9,C,mid,20,22,68.18,50.0,2.186,4.0,5.0,18.18,
M5-M6,live-9,C,established,5,164,18.29,47.56,2.337,2.0,3.0,-31.71,
M5-M6,live-9,C,established,10,164,31.71,53.66,2.36,2.0,4.0,-18.29,
M5-M6,live-9,C,established,20,164,54.27,61.59,2.473,3.0,5.0,4.27,
M5-M6,live-9,F,early,5,10,20.0,10.0,1.971,1.0,3.5,-30.0,LOW-N
M5-M6,live-9,F,early,10,10,50.0,10.0,1.971,1.0,4.0,0.0,LOW-N
M5-M6,live-9,F,early,20,10,50.0,30.0,2.908,15.0,4.0,0.0,LOW-N
M5-M6,live-9,F,mid,5,15,20.0,26.67,2.253,2.0,2.0,-30.0,LOW-N
M5-M6,live-9,F,mid,10,15,20.0,26.67,2.253,2.0,2.0,-30.0,LOW-N
M5-M6,live-9,F,mid,20,15,33.33,46.67,2.425,3.0,3.0,-16.67,LOW-N
M5-M6,live-9,F,established,5,0,,,,,,,
M5-M6,live-9,F,established,10,0,,,,,,,
M5-M6,live-9,F,established,20,0,,,,,,,
BF_M1M2M3,live-9,SB,early,5,24,41.67,41.67,2.614,2.0,2.0,-8.33,
BF_M1M2M3,live-9,SB,early,10,24,66.67,41.67,2.636,2.5,3.0,16.67,
BF_M1M2M3,live-9,SB,early,20,24,83.33,54.17,2.591,5.0,3.0,33.33,
BF_M1M2M3,live-9,SB,mid,5,66,54.55,39.39,2.318,2.0,2.0,4.55,
BF_M1M2M3,live-9,SB,mid,10,66,68.18,50.0,2.413,3.0,2.0,18.18,
BF_M1M2M3,live-9,SB,mid,20,66,93.94,60.61,2.692,7.0,2.0,43.94,
BF_M1M2M3,live-9,SB,established,5,62,46.77,46.77,3.138,2.0,2.0,-3.23,
BF_M1M2M3,live-9,SB,established,10,62,66.13,53.23,3.225,2.0,3.0,16.13,
BF_M1M2M3,live-9,SB,established,20,62,96.77,69.35,3.324,7.0,4.0,46.77,
BF_M1M2M3,live-9,MB,early,5,12,8.33,16.67,2.38,1.0,2.0,-41.67,LOW-N
BF_M1M2M3,live-9,MB,early,10,12,58.33,16.67,2.38,1.0,8.0,8.33,LOW-N
BF_M1M2M3,live-9,MB,early,20,12,91.67,50.0,2.084,14.0,8.0,41.67,LOW-N
BF_M1M2M3,live-9,MB,mid,5,22,50.0,40.91,2.983,2.0,2.0,0.0,
BF_M1M2M3,live-9,MB,mid,10,22,68.18,54.55,2.977,4.5,2.0,18.18,
BF_M1M2M3,live-9,MB,mid,20,22,72.73,59.09,3.093,5.0,2.0,22.73,
BF_M1M2M3,live-9,MB,established,5,6,0.0,50.0,2.212,1.0,,-50.0,LOW-N
BF_M1M2M3,live-9,MB,established,10,6,0.0,50.0,2.212,1.0,,-50.0,LOW-N
BF_M1M2M3,live-9,MB,established,20,6,0.0,50.0,2.212,1.0,,-50.0,LOW-N
BF_M1M2M3,live-9,TB,early,5,6,50.0,16.67,1.827,1.0,2.0,0.0,LOW-N
BF_M1M2M3,live-9,TB,early,10,6,66.67,16.67,1.827,1.0,3.5,16.67,LOW-N
BF_M1M2M3,live-9,TB,early,20,6,66.67,50.0,2.37,16.0,3.5,16.67,LOW-N
BF_M1M2M3,live-9,TB,mid,5,15,13.33,46.67,2.064,2.0,1.5,-36.67,LOW-N
BF_M1M2M3,live-9,TB,mid,10,15,26.67,46.67,2.085,2.0,2.0,-23.33,LOW-N
BF_M1M2M3,live-9,TB,mid,20,15,93.33,53.33,2.248,2.5,14.0,43.33,LOW-N
BF_M1M2M3,live-9,TB,established,5,1,0.0,0.0,,,,-50.0,LOW-N
