instrument,group,era,shape,duration_bucket,horizon,n_signals,reversion_rate_pct,continuation_rate_pct,anti_rev_depth_z,time_to_turn_days,half_life_days,net_directional_bias_pct,low_n_flag
M1-M2,live-9,full,C,early,5,2,0.0,0.0,,,,-50.0,LOW-N
M1-M2,live-9,full,C,early,10,2,50.0,0.0,,,9.0,0.0,LOW-N
M1-M2,live-9,full,C,early,20,2,100.0,0.0,,,11.5,50.0,LOW-N
M1-M2,live-9,full,C,established,5,114,35.96,42.11,2.855,3.0,2.0,-14.04,
M1-M2,live-9,full,C,established,10,114,71.05,55.26,3.029,5.0,3.0,21.05,
M1-M2,live-9,full,C,established,20,113,94.69,70.8,3.061,7.0,4.0,44.69,
M1-M2,live-9,full,C,mid,5,30,56.67,30.0,2.412,2.0,2.0,6.67,
M1-M2,live-9,full,C,mid,10,30,86.67,36.67,2.569,5.0,3.5,36.67,
M1-M2,live-9,full,C,mid,20,30,96.67,60.0,2.522,14.0,4.0,46.67,
M1-M2,live-9,full,F,early,5,15,40.0,13.33,2.044,3.5,1.0,-10.0,LOW-N
M1-M2,live-9,full,F,early,10,15,66.67,26.67,2.593,7.0,2.0,16.67,LOW-N
M1-M2,live-9,full,F,early,20,15,86.67,80.0,2.494,14.5,7.0,36.67,LOW-N
M1-M2,live-9,full,F,established,5,0,,,,,,,
M1-M2,live-9,full,F,established,10,0,,,,,,,
M1-M2,live-9,full,F,established,20,0,,,,,,,
M1-M2,live-9,full,F,mid,5,14,42.86,35.71,2.365,3.0,1.0,-7.14,LOW-N
M1-M2,live-9,full,F,mid,10,14,42.86,42.86,2.329,3.5,1.0,-7.14,LOW-N
M1-M2,live-9,full,F,mid,20,14,57.14,42.86,2.329,3.5,1.0,7.14,LOW-N
M1-M2,live-9,full,MB,early,5,16,18.75,0.0,,,3.0,-31.25,LOW-N
M1-M2,live-9,full,MB,early,10,16,62.5,12.5,2.153,9.5,5.0,12.5,LOW-N
M1-M2,live-9,full,MB,early,20,16,87.5,50.0,3.107,16.5,6.0,37.5,LOW-N
M1-M2,live-9,full,MB,established,5,4,0.0,50.0,2.52,1.0,,-50.0,LOW-N
M1-M2,live-9,full,MB,established,10,4,0.0,50.0,2.52,1.0,,-50.0,LOW-N
M1-M2,live-9,full,MB,established,20,4,0.0,50.0,2.52,1.0,,-50.0,LOW-N
M1-M2,live-9,full,MB,mid,5,19,31.58,31.58,2.423,5.0,2.0,-18.42,LOW-N
M1-M2,live-9,full,MB,mid,10,19,36.84,52.63,2.475,6.5,2.0,-13.16,LOW-N
M1-M2,live-9,full,MB,mid,20,19,57.89,68.42,2.596,10.0,2.0,7.89,LOW-N
M1-M2,live-9,full,SB,early,5,34,23.53,41.18,2.722,2.5,2.0,-26.47,
M1-M2,live-9,full,SB,early,10,34,52.94,47.06,2.727,3.0,4.5,2.94,
M1-M2,live-9,full,SB,early,20,34,58.82,55.88,2.818,4.0,5.0,8.82,
M1-M2,live-9,full,SB,established,5,50,32.0,32.0,3.131,2.5,2.0,-18.0,
M1-M2,live-9,full,SB,established,10,50,60.0,38.0,3.078,3.0,4.0,10.0,
M1-M2,live-9,full,SB,established,20,50,78.0,50.0,3.002,4.0,5.0,28.0,
M1-M2,live-9,full,SB,mid,5,53,47.17,33.96,2.306,2.5,2.0,-2.83,
M1-M2,live-9,full,SB,mid,10,53,54.72,47.17,2.386,3.0,2.0,4.72,
M1-M2,live-9,full,SB,mid,20,53,79.25,54.72,2.995,10.0,3.0,29.25,
M1-M2,live-9,full,TB,early,5,6,50.0,16.67,3.515,5.0,2.0,0.0,LOW-N
M1-M2,live-9,full,TB,early,10,6,83.33,50.0,3.515,6.0,2.0,33.33,LOW-N
M1-M2,live-9,full,TB,early,20,6,83.33,66.67,3.238,6.5,2.0,33.33,LOW-N
M1-M2,live-9,full,TB,established,5,2,0.0,50.0,2.256,1.0,,-50.0,LOW-N
M1-M2,live-9,full,TB,established,10,2,0.0,50.0,2.256,1.0,,-50.0,LOW-N
M1-M2,live-9,full,TB,established,20,2,100.0,50.0,2.256,1.0,12.0,50.0,LOW-N
M1-M2,live-9,full,TB,mid,5,18,11.11,27.78,2.331,1.0,2.5,-38.89,LOW-N
M1-M2,live-9,full,TB,mid,10,18,16.67,27.78,2.456,2.0,2.0,-33.33,LOW-N
M1-M2,live-9,full,TB,mid,20,18,44.44,44.44,2.273,5.5,14.0,-5.56,LOW-N
M2-M3,live-9,full,C,early,5,7,42.86,14.29,1.788,1.0,3.0,-7.14,LOW-N
M2-M3,live-9,full,C,early,10,7,57.14,28.57,1.986,5.0,3.0,7.14,LOW-N
M2-M3,live-9,full,C,early,20,7,85.71,71.43,2.246,14.0,6.0,35.71,LOW-N
M2-M3,live-9,full,C,established,5,159,16.35,56.6,2.621,2.0,2.0,-33.65,
M2-M3,live-9,full,C,established,10,159,32.7,61.64,2.681,3.0,4.0,-17.3,
M2-M3,live-9,full,C,established,20,159,54.09,66.67,2.792,4.0,5.0,4.09,
M2-M3,live-9,full,C,mid,5,33,45.45,39.39,2.312,2.0,2.0,-4.55,
M2-M3,live-9,full,C,mid,10,33,75.76,48.48,2.362,2.5,4.0,25.76,
M2-M3,live-9,full,C,mid,20,33,87.88,54.55,2.41,3.0,4.0,37.88,
M2-M3,live-9,full,F,early,5,10,0.0,30.0,2.774,4.0,,-50.0,LOW-N
M2-M3,live-9,full,F,early,10,10,0.0,30.0,3.187,5.0,,-50.0,LOW-N
M2-M3,live-9,full,F,early,20,10,20.0,30.0,3.187,5.0,8.0,-30.0,LOW-N
M2-M3,live-9,full,F,established,5,0,,,,,,,
M2-M3,live-9,full,F,established,10,0,,,,,,,
M2-M3,live-9,full,F,established,20,0,,,,,,,
M2-M3,live-9,full,F,mid,5,16,18.75,31.25,2.33,1.0,1.0,-31.25,LOW-N
