spot_cat,stock_level,regime,fly_M1M2M3_fwd3_mean,fly_M1M2M3_fwd3_n,fly_M2M3M4_fwd3_mean,fly_M2M3M4_fwd3_n,fly_M3M4M5_fwd3_mean,fly_M3M4M5_fwd3_n,fly_M4M5M6_fwd3_mean,fly_M4M5M6_fwd3_n,sp_M1M2_fwd3_mean,sp_M1M2_fwd3_n,sp_M2M3_fwd3_mean,sp_M2M3_fwd3_n,sp_M3M4_fwd3_mean,sp_M3M4_fwd3_n,sp_M4M5_fwd3_mean,sp_M4M5_fwd3_n,sp_M5M6_fwd3_mean,sp_M5M6_fwd3_n
Large down,High,Backwardation,,0,,0,,0,,0,,0,,0,,0,,0,,0
Large down,High,Contango,-2.04,67,0.81,67,-0.66,67,0.76,67,4.49,67,0.42,67,2.04,67,0.72,67,2.24,67
Large down,High,Transition,-6.42,12,-3.71,12,-1.21,12,0.12,12,21.42,12,8.58,12,1.17,12,-1.25,12,-1.0,12
Large down,Low,Backwardation,1.06,92,0.36,92,0.19,92,0.12,92,-6.53,92,-4.41,92,-3.7,92,-3.32,92,-3.07,92
Large down,Low,Contango,-35.5,1,3.5,1,-11.5,1,8.5,1,70.0,1,-1.0,1,6.0,1,-17.0,1,0.0,1
Large down,Low,Transition,-1.29,12,5.79,12,0.79,12,4.42,12,-25.0,12,-27.58,12,-16.0,12,-14.42,12,-5.58,12
Large down,Mid,Backwardation,-2.08,31,0.37,31,2.52,31,-0.21,31,-6.81,31,-10.97,31,-10.23,31,-5.19,31,-5.61,31
Large down,Mid,Contango,-3.59,45,0.12,45,0.13,45,0.58,45,4.0,45,-3.18,45,-2.93,45,-2.67,45,-1.51,45
Large down,Mid,Transition,0.0,21,1.4,21,-0.69,21,0.33,21,-5.71,21,-5.71,21,-2.9,21,-4.29,21,-3.62,21
Small down,High,Backwardation,,0,,0,,0,,0,,0,,0,,0,,0,,0
Small down,High,Contango,-1.7,123,0.46,123,-0.37,123,-0.12,123,4.01,123,0.62,123,1.54,123,0.8,123,0.57,123
Small down,High,Transition,7.79,24,-0.46,24,0.58,24,-0.54,24,-16.04,24,-0.46,24,-1.38,24,-0.21,24,-1.29,24
Small down,Low,Backwardation,-1.2,77,0.09,77,-0.72,77,-0.18,77,3.57,77,1.17,77,1.35,77,-0.09,77,-0.44,77
Small down,Low,Contango,12.5,1,9.5,1,3.0,1,1.0,1,-52.0,1,-27.0,1,-8.0,1,-2.0,1,0.0,1
Small down,Low,Transition,3.56,8,4.62,8,0.56,8,-0.19,8,-23.0,8,-15.88,8,-6.62,8,-5.5,8,-5.88,8
Small down,Mid,Backwardation,6.44,26,3.04,26,-1.81,26,-0.54,26,-11.31,26,1.58,26,7.65,26,4.04,26,2.96,26
