spot_cat,stock_level,regime,sp_M1M2_fwd3_mean,sp_M1M2_fwd3_n,sp_M1M2_fwd3_std,sp_M2M3_fwd3_mean,sp_M2M3_fwd3_n,sp_M2M3_fwd3_std,sp_M3M4_fwd3_mean,sp_M3M4_fwd3_n,sp_M3M4_fwd3_std,sp_M4M5_fwd3_mean,sp_M4M5_fwd3_n,sp_M4M5_fwd3_std
Large down,High,Backwardation,,0,,,0,,,0,,,0,
Large down,High,Contango,4.49,67,38.95,0.42,67,19.74,2.04,67,12.86,0.72,67,10.7
Large down,High,Transition,21.42,12,56.53,8.58,12,25.95,1.17,12,15.24,-1.25,12,9.46
Large down,Low,Backwardation,-6.53,92,49.75,-4.41,92,39.75,-3.7,92,28.54,-3.32,92,19.15
Large down,Low,Contango,70.0,1,,-1.0,1,,6.0,1,,-17.0,1,
Large down,Low,Transition,-25.0,12,77.39,-27.58,12,31.06,-16.0,12,21.38,-14.42,12,24.01
Large down,Mid,Backwardation,-6.81,31,64.69,-10.97,31,39.5,-10.23,31,34.5,-5.19,31,27.08
Large down,Mid,Contango,4.0,45,35.32,-3.18,45,9.35,-2.93,45,8.85,-2.67,45,7.97
Large down,Mid,Transition,-5.71,21,39.08,-5.71,21,21.06,-2.9,21,13.99,-4.29,21,11.56
Small down,High,Backwardation,,0,,,0,,,0,,,0,
Small down,High,Contango,4.01,123,40.15,0.62,123,11.59,1.54,123,10.42,0.8,123,9.48
Small down,High,Transition,-16.04,24,41.42,-0.46,24,14.46,-1.38,24,12.27,-0.21,24,12.47
Small down,Low,Backwardation,3.57,77,74.81,1.17,77,34.95,1.35,77,22.87,-0.09,77,15.13
Small down,Low,Contango,-52.0,1,,-27.0,1,,-8.0,1,,-2.0,1,
Small down,Low,Transition,-23.0,8,51.4,-15.88,8,30.77,-6.62,8,19.86,-5.5,8,12.56
Small down,Mid,Backwardation,-11.31,26,52.78,1.58,26,30.16,7.65,26,26.06,4.04,26,19.45
Small down,Mid,Contango,-7.96,69,31.69,-2.2,69,9.37,-1.23,69,8.1,-0.62,69,7.21
Small down,Mid,Transition,-3.38,47,34.24,-1.38,47,13.98,-1.55,47,9.2,-1.66,47,9.55
Flat,High,Backwardation,,0,,,0,,,0,,,0,
Flat,High,Contango,4.43,140,35.21,2.41,140,14.17,2.11,140,11.58,2.34,140,10.66
Flat,High,Transition,2.51,45,29.25,2.2,45,17.69,1.13,45,13.1,-0.13,45,10.43
Flat,Low,Backwardation,5.17,103,73.15,-3.05,103,35.37,-0.82,103,25.91,1.47,103,17.2
Flat,Low,Contango,80.0,1,,4.0,1,,-4.0,1,,-7.0,1,
Flat,Low,Transition,4.57,7,104.42,-8.0,7,26.12,-7.0,7,32.12,-5.86,7,19.75
Flat,Mid,Backwardation,10.56,43,45.23,5.4,43,32.18,1.84,43,25.06,0.16,43,23.62
Flat,Mid,Contango,2.37,86,26.03,-2.99,86,9.18,-1.45,86,7.38,-1.19,86,7.14
Flat,Mid,Transition,-0.82,66,32.02,-0.41,66,15.85,-0.97,66,9.97,-0.39,66,11.31
Small up,High,Backwardation,,0,,,0,,,0,,,0,
Small up,High,Contango,1.74,103,33.64,2.19,103,13.88,1.89,103,12.26,1.12,103,10.59
Small up,High,Transition,-4.71,34,22.82,-0.62,34,15.65,0.59,34,13.01,1.56,34,11.69
Small up,Low,Backwardation,-4.21,97,58.95,-2.41,97,40.64,-0.21,97,25.7,0.41,97,20.54
Small up,Low,Contango,17.5,2,54.45,-10.5,2,3.54,-6.0,2,11.31,-1.5,2,4.95
Small up,Low,Transition,-31.75,8,102.91,-8.25,8,36.17,-2.12,8,35.72,6.0,8,26.34
Small up,Mid,Backwardation,13.2,30,46.49,11.57,30,29.66,3.43,30,18.93,2.93,30,15.86
Small up,Mid,Contango,-1.25,77,26.6,0.83,77,9.63,0.3,77,8.01,0.64,77,6.67
Small up,Mid,Transition,6.93,45,30.63,1.44,45,13.67,0.18,45,9.2,1.44,45,8.77
Large up,High,Backwardation,,0,,,0,,,0,,,0,
Large up,High,Contango,-1.1,67,29.02,1.63,67,12.62,0.51,67,11.09,2.55,67,10.81
Large up,High,Transition,-8.5,28,34.39,-1.79,28,14.04,-0.68,28,14.94,1.0,28,13.41
Large up,Low,Backwardation,1.96,116,66.79,4.84,116,39.09,-0.82,116,23.86,-3.2,116,22.41
Large up,Low,Contango,,0,,,0,,,0,,,0,
Large up,Low,Transition,13.0,1,,5.0,1,,-15.0,1,,-17.0,1,
Large up,Mid,Backwardation,-15.19,42,52.52,6.24,42,34.73,5.33,42,28.63,1.43,42,21.97
Large up,Mid,Contango,-14.56,45,29.92,-1.53,45,8.25,0.49,45,7.49,1.8,45,8.17
Large up,Mid,Transition,20.8,25,44.81,2.76,25,17.51,-0.04,25,8.94,-1.12,25,10.09
