time,sym,contract,tte,spot,fv,side,layer,price,lots,tick_offset
10:47:14.247157,BBCA,April,16,6750,6768.43,BID,1,6700,5,3
10:47:14.247157,BBCA,April,16,6750,6768.43,BID,2,6675,7,4
10:47:14.247157,BBCA,April,16,6750,6768.43,BID,3,6650,10,5
10:47:14.247157,BBCA,April,16,6750,6768.43,ASK,1,6850,5,3
10:47:14.247157,BBCA,April,16,6750,6768.43,ASK,2,6875,7,4
10:47:14.247157,BBCA,April,16,6750,6768.43,ASK,3,6900,10,5
10:47:14.247171,BBCA,Mei,45,6750,6801.85,BID,1,6725,5,3
10:47:14.247171,BBCA,Mei,45,6750,6801.85,BID,2,6700,7,4
10:47:14.247171,BBCA,Mei,45,6750,6801.85,BID,3,6675,10,5
10:47:14.247171,BBCA,Mei,45,6750,6801.85,ASK,1,6875,5,3
10:47:14.247171,BBCA,Mei,45,6750,6801.85,ASK,2,6900,7,4
10:47:14.247171,BBCA,Mei,45,6750,6801.85,ASK,3,6925,10,5
10:47:14.247180,BBCA,Juni,77,6750,6838.71,BID,1,6775,5,3
10:47:14.247180,BBCA,Juni,77,6750,6838.71,BID,2,6750,7,4
10:47:14.247180,BBCA,Juni,77,6750,6838.71,BID,3,6725,10,5
10:47:14.247180,BBCA,Juni,77,6750,6838.71,ASK,1,6925,5,3
10:47:14.247180,BBCA,Juni,77,6750,6838.71,ASK,2,6950,7,4
10:47:14.247180,BBCA,Juni,77,6750,6838.71,ASK,3,6975,10,5
10:47:14.247190,BBRI,April,16,3490,3484.77,BID,1,3450,5,3
10:47:14.247190,BBRI,April,16,3490,3484.77,BID,2,3440,7,4
10:47:14.247190,BBRI,April,16,3490,3484.77,BID,3,3430,10,5
10:47:14.247190,BBRI,April,16,3490,3484.77,ASK,1,3510,5,3
10:47:14.247190,BBRI,April,16,3490,3484.77,ASK,2,3520,7,4
10:47:14.247190,BBRI,April,16,3490,3484.77,ASK,3,3530,10,5
10:47:14.247197,BBRI,Mei,45,3490,3516.81,BID,1,3490,5,3
10:47:14.247197,BBRI,Mei,45,3490,3516.81,BID,2,3480,7,4
10:47:14.247197,BBRI,Mei,45,3490,3516.81,BID,3,3470,10,5
10:47:14.247197,BBRI,Mei,45,3490,3516.81,ASK,1,3550,5,3
10:47:14.247197,BBRI,Mei,45,3490,3516.81,ASK,2,3560,7,4
10:47:14.247197,BBRI,Mei,45,3490,3516.81,ASK,3,3570,10,5
10:47:14.247203,BBRI,Juni,77,3490,3535.87,BID,1,3510,5,3
10:47:14.247203,BBRI,Juni,77,3490,3535.87,BID,2,3500,7,4
10:47:14.247203,BBRI,Juni,77,3490,3535.87,BID,3,3490,10,5
10:47:14.247203,BBRI,Juni,77,3490,3535.87,ASK,1,3570,5,3
10:47:14.247203,BBRI,Juni,77,3490,3535.87,ASK,2,3580,7,4
10:47:14.247203,BBRI,Juni,77,3490,3535.87,ASK,3,3590,10,5
10:47:14.247211,ASII,April,16,6175,6191.86,BID,1,6125,5,3
10:47:14.247211,ASII,April,16,6175,6191.86,BID,2,6100,7,4
10:47:14.247211,ASII,April,16,6175,6191.86,BID,3,6075,10,5
10:47:14.247211,ASII,April,16,6175,6191.86,ASK,1,6275,5,3
10:47:14.247211,ASII,April,16,6175,6191.86,ASK,2,6300,7,4
10:47:14.247211,ASII,April,16,6175,6191.86,ASK,3,6325,10,5
10:47:14.247216,ASII,Mei,45,6175,6170.51,BID,1,6100,5,3
10:47:14.247216,ASII,Mei,45,6175,6170.51,BID,2,6075,7,4
10:47:14.247216,ASII,Mei,45,6175,6170.51,BID,3,6050,10,5
10:47:14.247216,ASII,Mei,45,6175,6170.51,ASK,1,6250,5,3
